XF
W1
3150118,20210927,07001969,5.10;
3155951,20210927,07003042,7.20;
3151207,20210927,07004210,8.60;
3144818,20210927,07005370,4.75;
3147554,20210927,07011265,4.05;
3125819,20210927,07012893,3.70;
3203056,20210927,07014115,9.30;
3157670,20210927,07015631,3.70;
3144890,20210927,07021441,9.30;
3151216,20210927,07022928,3.70;
3127961,20210927,07024919,8.25;
3179117,20210927,07030745,3.00;
3154970,20210927,07032041,6.15;
3205784,20210927,07033380,4.05;
3206972,20210927,07034679,7.20;
3184364,20210927,07040168,6.85;
3189125,20210927,07041658,4.05;
3179045,20210927,07043087,3.70;
3174419,20210927,07044699,8.25;
3200266,20210927,07045755,4.40;
3135700,20210927,07051456,3.00;
3169064,20210927,07053154,7.90;
3194507,20210927,07054391,7.55;
3159191,20210927,07055908,7.55;
3208349,20210927,07061375,3.35;
3170396,20210927,07062769,7.20;
3196965,20210927,07064049,3.00;
3182140,20210927,07065062,6.50;
3177579,20210927,07070694,5.80;
3154150,20210927,07072223,7.55;
3168056,20210927,07073262,3.00;
3141721,20210927,07074465,10.00;
3138491,20210927,07075517,5.80;
3144421,20210927,07081173,3.70;
3155744,20210927,07082513,8.25;
3147419,20210927,07083850,8.25;
3134350,20210927,07085282,7.90;
3170747,20210927,07091216,5.10;
3201607,20210927,07092602,4.40;
3178712,20210927,07094228,5.45;
3173889,20210927,07095915,7.90;
3129194,20210927,07101370,5.80;
3175760,20210927,07102422,7.55;
3151577,20210927,07103796,8.60;
3190574,20210927,07105195,4.40;
3177722,20210927,07110304,7.90;
3201904,20210927,07112286,5.80;
3166797,20210927,07113349,7.20;
3178136,20210927,07114740,7.90;
3158354,20210927,07115753,8.60;
3192860,20210927,07121692,3.35;
3176291,20210927,07123271,4.05;
3198783,20210927,07125097,5.45;
3154600,20210927,07130830,3.00;
3194075,20210927,07132076,9.65;
3171881,20210927,07133318,8.95;
3181628,20210927,07134786,3.35;
3152332,20210927,07135862,5.80;
3206855,20210927,07141082,5.10;
3152864,20210927,07142244,6.50;
3144692,20210927,07143616,5.80;
3208123,20210927,07145139,4.05;
3147211,20210927,07151100,9.65;
3200978,20210927,07152253,10.00;
3140821,20210927,07153792,5.10;
3207511,20210927,07155122,10.00;
3166436,20210927,07160707,4.75;
3148607,20210927,07162086,3.70;
3193823,20210927,07163378,8.95;
3140902,20210927,07164727,4.75;
3155717,20210927,07170657,5.10;
3180151,20210927,07172613,5.45;
3161459,20210927,07174584,8.60;
3204262,20210927,07180112,3.70;
3161314,20210927,07181168,8.95;
3189233,20210927,07182303,9.65;
3126287,20210927,07183689,5.10;
3155979,20210927,07185137,7.90;
3191492,20210927,07190489,9.30;
3127989,20210927,07191864,7.55;
3124045,20210927,07192897,3.70;
3186632,20210927,07194837,10.00;
3161693,20210927,07200782,8.60;
3129734,20210927,07202019,4.05;
3187785,20210927,07203057,4.40;
3146276,20210927,07204252,4.75;
3152783,20210927,07205315,3.70;
3194129,20210927,07210958,6.85;
3177795,20210927,07212940,7.90;
3141811,20210927,07214844,3.00;
3180061,20210927,07220758,5.80;
3167390,20210927,07222183,7.20;
3205036,20210927,07223768,3.00;
3128429,20210927,07225042,4.05;
3183716,20210927,07230984,6.15;
3185787,20210927,07232302,9.30;
3147815,20210927,07233778,10.00;
3195786,20210927,07235402,4.75;
3143846,20210927,07240829,9.30;
3125008,20210927,07242405,3.70;
3193102,20210927,07244111,4.75;
3158976,20210927,07250060,4.75;
3161350,20210927,07251635,4.05;
3130705,20210927,07253513,6.50;
3145943,20210927,07254837,6.85;
3138040,20210927,07255900,3.35;
3173195,20210927,07261830,3.00;
3167147,20210927,07263691,3.00;
3198107,20210927,07265518,4.40;
3185048,20210927,07270868,7.20;
3147392,20210927,07272655,10.00;
